,weight,height,label,predict,
0,0.78,0.715,fat,fat,1234
1,0.44,0.62,fat,fat,
2,0.72,0.675,fat,fat,
3,0.44,0.84,thin,thin,
4,0.71,0.785,fat,fat,
5,0.44,0.84,thin,thin,
6,0.53,0.645,fat,fat,
7,0.5,0.87,thin,thin,
8,0.54,0.745,normal,normal,
9,0.56,0.925,thin,thin,
10,0.6,0.635,fat,fat,
11,0.59,0.915,thin,thin,
12,0.53,0.895,thin,thin,
13,0.37,0.705,normal,normal,
14,0.67,0.945,normal,normal,
15,0.67,0.89,normal,normal,
16,0.48,0.66,fat,fat,
17,0.4,0.685,normal,normal,
18,0.58,0.705,fat,fat,
19,0.59,0.78,normal,normal,
20,0.79,0.965,normal,normal,
21,0.38,0.795,thin,thin,
22,0.63,0.945,thin,thin,
23,0.56,0.77,normal,normal,
24,0.58,0.945,thin,thin,
25,0.67,0.6,fat,fat,
26,0.44,0.735,normal,normal,
27,0.71,0.935,normal,normal,
28,0.67,0.715,fat,fat,
29,0.78,0.82,fat,fat,
30,0.52,0.655,fat,fat,
31,0.49,0.795,normal,normal,
32,0.66,0.74,fat,fat,
33,0.39,0.85,thin,thin,
34,0.41,0.945,thin,thin,
35,0.5,0.755,normal,normal,
36,0.35,0.775,thin,thin,
37,0.42,0.96,thin,thin,
38,0.42,0.895,thin,thin,
39,0.64,0.66,fat,fat,
40,0.46,0.865,thin,thin,
41,0.57,0.77,normal,normal,
42,0.4,0.945,thin,thin,
43,0.37,0.975,thin,thin,
44,0.59,0.87,normal,normal,
45,0.37,0.67,normal,normal,
46,0.4,0.915,thin,thin,
47,0.67,0.915,normal,normal,
48,0.78,0.74,fat,fat,
49,0.59,0.77,normal,normal,
50,0.66,0.765,fat,fat,
51,0.64,0.85,normal,normal,
52,0.64,0.63,fat,fat,
53,0.68,0.71,fat,fat,
54,0.8,0.76,fat,fat,
55,0.68,0.605,fat,fat,
56,0.56,0.88,thin,thin,
57,0.73,0.88,normal,normal,
58,0.41,0.765,thin,thin,
59,0.41,0.63,fat,fat,
60,0.59,0.85,normal,normal,
61,0.36,0.695,normal,normal,
62,0.53,0.96,thin,thin,
63,0.77,0.735,fat,fat,
64,0.75,0.97,normal,normal,
65,0.47,0.755,normal,normal,
66,0.51,0.725,normal,normal,
67,0.71,0.795,fat,fat,
68,0.61,0.675,fat,fat,
69,0.4,0.86,thin,thin,
70,0.71,0.845,normal,normal,
71,0.72,0.865,normal,normal,
72,0.36,0.995,thin,thin,
73,0.67,1,thin,thin,
74,0.62,0.76,fat,fat,
75,0.56,0.66,fat,fat,
76,0.75,0.73,fat,fat,
77,0.6,0.795,normal,normal,
78,0.73,0.775,fat,fat,
79,0.79,0.61,fat,fat,
80,0.7,0.925,normal,normal,
81,0.68,0.99,thin,thin,
82,0.69,0.66,fat,fat,
83,0.54,0.925,thin,thin,
84,0.56,0.745,fat,fat,
85,0.47,0.635,fat,fat,
86,0.35,0.655,normal,normal,
87,0.79,0.74,fat,fat,
88,0.72,0.95,normal,normal,
89,0.66,0.635,fat,fat,
90,0.63,0.765,fat,fat,
91,0.45,0.72,normal,normal,
92,0.65,0.975,thin,thin,
93,0.48,0.815,thin,thin,
94,0.42,0.885,thin,thin,
95,0.52,0.675,fat,fat,
96,0.5,0.66,fat,fat,
97,0.62,0.795,normal,normal,
98,0.55,0.64,fat,fat,
99,0.58,0.755,fat,fat,
100,0.43,0.89,thin,thin,
101,0.52,0.645,fat,fat,
102,0.48,0.725,normal,normal,
103,0.53,0.705,fat,fat,
104,0.44,0.8,thin,thin,
105,0.52,0.665,fat,fat,
106,0.57,0.765,normal,normal,
107,0.67,0.695,fat,fat,
108,0.65,0.715,fat,fat,
109,0.48,0.665,fat,fat,
110,0.67,0.67,fat,fat,
111,0.56,0.645,fat,fat,
112,0.55,0.75,normal,normal,
113,0.36,0.795,thin,thin,
114,0.71,0.79,fat,fat,
115,0.76,0.775,fat,fat,
116,0.44,0.645,fat,fat,
117,0.38,0.605,fat,fat,
118,0.38,0.945,thin,thin,
119,0.68,0.81,fat,fat,
120,0.65,0.97,thin,thin,
121,0.46,0.965,thin,thin,
122,0.68,0.82,fat,fat,
123,0.66,0.705,fat,fat,
124,0.47,0.825,thin,thin,
125,0.62,0.965,thin,thin,
126,0.48,0.64,fat,fat,
127,0.61,0.715,fat,fat,
128,0.53,0.725,fat,fat,
129,0.45,0.8,thin,thin,
130,0.45,0.915,thin,thin,
131,0.63,0.87,normal,normal,
132,0.46,0.63,fat,fat,
133,0.56,0.72,fat,fat,
134,0.68,0.7,fat,fat,
135,0.72,0.785,fat,fat,
136,0.72,0.62,fat,fat,
137,0.35,0.665,normal,normal,
138,0.66,0.96,thin,thin,
139,0.6,0.725,fat,fat,
140,0.64,0.845,normal,normal,
141,0.78,0.88,fat,fat,
142,0.65,0.95,thin,thin,
143,0.37,0.855,thin,thin,
144,0.77,0.715,fat,fat,
145,0.52,0.71,fat,fat,
146,0.7,0.905,normal,normal,
147,0.69,0.785,fat,fat,
148,0.63,0.86,normal,normal,
149,0.51,0.62,fat,fat,
150,0.42,0.605,fat,fat,
151,0.46,0.655,fat,fat,
152,0.42,0.76,thin,thin,
153,0.48,0.91,thin,thin,
154,0.63,0.815,normal,normal,
155,0.72,0.715,fat,fat,
156,0.37,0.74,thin,thin,
157,0.54,0.91,thin,thin,
158,0.57,0.705,fat,fat,
159,0.5,0.99,thin,thin,
160,0.78,0.855,fat,fat,
161,0.36,0.625,normal,normal,
162,0.8,0.93,normal,normal,
163,0.8,0.615,fat,fat,
164,0.74,0.695,fat,fat,
165,0.52,0.9,thin,thin,
166,0.39,0.875,thin,thin,
167,0.51,0.62,fat,fat,
168,0.39,0.815,thin,thin,
169,0.57,0.955,thin,thin,
170,0.79,0.77,fat,fat,
171,0.48,0.665,fat,fat,
172,0.48,0.69,fat,fat,
173,0.6,0.775,normal,normal,
174,0.68,0.625,fat,fat,
175,0.51,0.705,fat,fat,
176,0.75,0.805,fat,fat,
